ID;Kurztext;Langtext;Beginn;Ende;Sort;geaendert
1;null;"erworben durch LABG/OVP bzw. Laufbahnverordnung";1900-01-01T00:00;null;100;
2;"2";"Unterrichtserlaubnis (z. B. Zertifikatskurs)";1900-01-01T00:00;null;200;
3;"3";"mehrjähriger Unterricht ohne Lehramtsprüfung oder Unterrichtserlaubnis";1900-01-01T00:00;null;300;
4;"9";"sonstige";1900-01-01T00:00;null;400;
