ID;Kurztext;Langtext;Beginn;Ende;Sort;geaendert
1;null;"Erworben durch LABG/OVP bzw. Laufbahnverordnung";1900-01-01T00:00;null;100;
2;"2";"Unterrichtserlaubnis (z. B. Zertifikatskurs)";1900-01-01T00:00;null;200;
3;"3";"Mehrjähriger Unterricht ohne Lehramtsprüfung oder Unterrichtserlaubnis";1900-01-01T00:00;null;300;
4;"9";"Sonstige";1900-01-01T00:00;null;400;
