ID;Kurztext;Langtext;Gesprochen in;Beginn;Ende;geaendert
130;"st";"Sesotho";"Lesotho, Südafrika";1900-01-01T00:00;null;
143;"su";"Sundanesisch";"Indonesien (westlichen Drittel der Insel Java) ";1900-01-01T00:00;null;
128;"sv";"Schwedisch";"Schweden, Finnland, Åland";1900-01-01T00:00;null;
144;"sw";"Swahili";"Kenia, Tansania und Uganda";1900-01-01T00:00;null;
148;"ta";"Tamilisch";"Indien, Sri Lanka, Singapur, Malaysia, Kenia";1900-01-01T00:00;null;
150;"te";"Telugu";"Indien";1900-01-01T00:00;null;
145;"tg";"Tadschikisch";"Tadschikistan, Usbekistan";1900-01-01T00:00;null;
151;"th";"Thailändisch";"Thailand";1900-01-01T00:00;null;
153;"ti";"Tigrinya";"Eritrea, Äthiopien (Provinz Tigray)";1900-01-01T00:00;null;
160;"tk";"Turkmenisch";"GUS-Staaten,  Afghanistan,  Iran, Türkei";1900-01-01T00:00;null;
146;"tl";"Tagalog";"Philippinen (Region: Zentral- und Südluzon)";1900-01-01T00:00;null;
131;"tn";"Setswana";"Botswana, Südafrika, Namibia, Simbabwe";1900-01-01T00:00;null;
154;"to";"Tongaisch";"Tonga";1900-01-01T00:00;null;
159;"tr";"Türkisch";"Türkei, Deutschland, Schweiz, Zypern, Griechenland, Rumänien, Bulgarien, Moldawien, Ukraine (Krim), Österreich, Mazedonien, Albanien, Serbien und Montenegro, Griechenland, Aserbaidschan, Turkmenistan, Iran, Australien, Niederlande, Irak";1900-01-01T00:00;null;
158;"ts";"Tsonga";"Südafrika, Swasiland, Mosambik und Simbabwe.";1900-01-01T00:00;null;
149;"tt";"Tatarisch";"in vielen Regionen Russlands, vor allem in Tatarstan und Baschkortostan und vielen anderen Ländern der ehemaligen Sowjetunion";1900-01-01T00:00;null;
161;"tw";"Twi";"Ghana";1900-01-01T00:00;null;
147;"ty";"Tahitianisch";"Französisch-Polynesien";1900-01-01T00:00;null;
162;"ug";"Uigurisch";"Volksrepublik China, Kasachstan, Kirgisistan, Usbekistan, Afghanistan, Pakistan, Indien, Mongolei und Türkei.";1900-01-01T00:00;null;
163;"uk";"Ukrainisch";"Ukraine, Russland, Kasachstan, Moldawien, USA, Kanada, Polen, Weißrussland, Slowakei, Argentinien, Kirgisistan, Lettland, Rumänien, Westeuropa, Tschechien";1900-01-01T00:00;null;
165;"ur";"Urdu";"Indien, Pakistan, Iran, Afghanistan, Tadschikistan, Usbekistan, Bahrain, Irak, Europa, USA";1900-01-01T00:00;null;
166;"uz";"Usbekisch";"GUS-Staaten (Tadschikistan, Kirgisistan, Kasachstan, Turkmenistan), Volksrepublik China (Sinkiang), Afghanistan, Pakistan, Türkei, Deutschland";1900-01-01T00:00;null;
167;"ve";"Venda";"Südafrika, Simbabwe.";1900-01-01T00:00;null;
168;"vi";"Vietnamesisch";"Vietnam";1900-01-01T00:00;null;
170;"wa";"Wallonisch";"Belgien (Wallonien, der französischsprachige Teil Belgiens) und in Gebieten im Nordosten Frankreichs in der Nähe der belgischen Grenze";1900-01-01T00:00;null;
172;"wo";"Wolof";"Senegal, Gambia, Mauretanien";1900-01-01T00:00;null;
60;"xh";"IsiXhosa";"Südafrika";1900-01-01T00:00;null;
140;"xx";"Sonstige Sprache (anderweitig nicht genannt)";null;1900-01-01T00:00;null;
66;"yi";"Jiddisch";"USA, Israel, Ukraine, Weißrussland, Russland, Kanada, Argentinien, Schweden und in diversen anderen Ländern";1900-01-01T00:00;null;
173;"yo";"Yoruba";"Nigeria, Benin, Togo und Sierra Leone";1900-01-01T00:00;null;
174;"za";"Zhuang";"Volksrepublik China";1900-01-01T00:00;null;
28;"zh";"Chinesisch";"Volksrepublik China, Taiwan (Republik China), Singapur, Indonesien, Malaysia";1900-01-01T00:00;null;
61;"zu";"IsiZulu";"Südafrika";1900-01-01T00:00;null;
