GemKZ;Sortierung;Bezeichnung;geaendert
"05562036";1;"Waltrop";
"05566004";1;"Altenberge";
"05566008";1;"Emsdetten";
"05566012";1;"Greven";
"05566016";1;"Hörstel";
"05566020";1;"Hopsten";
"05566024";1;"Horstmar";
"05566028";1;"Ibbenbüren";
"05566032";1;"Ladbergen";
"05566036";1;"Laer";
"05566040";1;"Lengerich";
"05566044";1;"Lienen";
"05566048";1;"Lotte";
"05566052";1;"Metelen";
"05566056";1;"Mettingen";
"05566060";1;"Neuenkirchen";
"05566064";1;"Nordwalde";
"05566068";1;"Ochtrup";
"05566072";1;"Recke";
"05566076";1;"Rheine";
"05566080";1;"Saerbeck";
"05566084";1;"Steinfurt";
"05566088";1;"Tecklenburg";
"05566092";1;"Westerkappeln";
"05566096";1;"Wettringen";
"05570004";1;"Ahlen";
"05570008";1;"Beckum";
"05570012";1;"Beelen";
"05570016";1;"Drensteinfurt";
"05570020";1;"Ennigerloh";
"05570024";1;"Everswinkel";
"05570028";1;"Oelde";
"05570032";1;"Ostbevern";
"05570036";1;"Sassenberg";
"05570040";1;"Sendenhorst";
"05570044";1;"Telgte";
"05570048";1;"Wadersloh";
"05570052";1;"Warendorf";
"05711000";1;"Bielefeld";
"05754004";1;"Borgholzhausen";
"05754008";1;"Gütersloh";
"05754012";1;"Halle";
"05754016";1;"Harsewinkel";
"05754020";1;"Herzebrock-Clarholz";
"05754024";1;"Langenberg";
"05754028";1;"Rheda-Wiedenbrück";
"05754032";1;"Rietberg";
"05754036";1;"Schloß Holte-Stukenbrock";
"05754040";1;"Steinhagen";
"05754044";1;"Verl";
"05754048";1;"Versmold";
"05754052";1;"Werther";
"05758004";1;"Bünde";
"05758008";1;"Enger";
"05758012";1;"Herford";
"05758016";1;"Hiddenhausen";
"05758020";1;"Kirchlengern";
"05758024";1;"Löhne";
"05758028";1;"Rödinghausen";
"05758032";1;"Spenge";
"05758036";1;"Vlotho";
"05762004";1;"Bad Driburg";
"05762008";1;"Beverungen";
"05762012";1;"Borgentreich";
"05762016";1;"Brakel";
"05762020";1;"Höxter";
"05762024";1;"Marienmünster";
"05762028";1;"Nieheim";
"05762032";1;"Steinheim";
"05762036";1;"Warburg";
"05762040";1;"Willebadessen";
"05766004";1;"Augustdorf";
"05766008";1;"Bad Salzuflen";
"05766012";1;"Barntrup";
"05766016";1;"Blomberg";
"05766020";1;"Detmold";
"05766024";1;"Dörentrup";
"05766028";1;"Extertal";
