ID;Kurztext;Langtext;Beginn;Ende;Sort;geaendert
1;"100";"Ansparphase, Phase mit erhöhter Arbeitszeit 'Teilzeitbeschäftigung im Blockmodell' (§ 65 LBG) (vormals  Sabbatjahr)";1900-01-01T00:00;null;100;
2;"110";"Mehrarbeit (angeordnet und regelmäßig)";1900-01-01T00:00;null;110;
3;"150";"Aufrundung der Pflichtstundenzahl aufgrund von § 2 Abs. 1 AVO-RL";1900-01-01T00:00;null;150;
4;"160";"Überschreitung der Pflichtstundenzahl aus organisatorischen Gründen (z. B. Epochenunterricht)";1900-01-01T00:00;null;160;
6;"165";"Überschreitung der Pflichtstundenzahl wegen COVID-19";1900-01-01T00:00;null;165;
5;"170";"Überschreitung der Pflichtstundenzahl wegen Pflichstunden-Bandbreite";1900-01-01T00:00;null;170;
