ID;PLZ;REGSCHL;ORT;STAND;Sortierung;ART
135940;"40237";"05111000";"Düsseldorf";;null;6
135941;"40239";"05111000";"Düsseldorf";;null;6
135990;"40468";"05111000";"Düsseldorf";;null;6
135991;"40470";"05111000";"Düsseldorf";;null;6
135992;"40472";"05111000";"Düsseldorf";;null;6
135993;"40472";"05158028";"Ratingen";;null;6
135994;"40474";"05111000";"Düsseldorf";;null;6
135995;"40476";"05111000";"Düsseldorf";;null;6
135996;"40477";"05111000";"Düsseldorf";;null;6
135997;"40479";"05111000";"Düsseldorf";;null;6
136000;"40489";"05111000";"Düsseldorf";;null;6
136026;"40545";"05111000";"Düsseldorf";;null;6
136027;"40547";"05111000";"Düsseldorf";;null;6
136028;"40549";"05111000";"Düsseldorf";;null;6
136048;"40589";"05111000";"Düsseldorf";;null;6
136049;"40591";"05111000";"Düsseldorf";;null;6
136050;"40593";"05111000";"Düsseldorf";;null;6
136051;"40595";"05111000";"Düsseldorf";;null;6
136052;"40597";"05111000";"Düsseldorf";;null;6
136053;"40599";"05111000";"Düsseldorf";;null;6
136061;"40625";"05111000";"Düsseldorf";;null;6
136062;"40627";"05111000";"Düsseldorf";;null;6
136063;"40629";"05111000";"Düsseldorf";;null;6
136080;"40667";"05162022";"Meerbusch";;null;6
136081;"40668";"05162022";"Meerbusch";;null;6
136082;"40670";"05162022";"Meerbusch";;null;6
136096;"40699";"05158004";"Erkrath";;null;6
136109;"40721";"05111000";"Düsseldorf";;null;6
136110;"40721";"05158016";"Hilden";;null;6
136111;"40723";"05158016";"Hilden";;null;6
136112;"40724";"05158016";"Hilden";;null;6
136124;"40764";"05158020";"Langenfeld (Rheinland)";;null;6
136138;"40789";"05158026";"Monheim am Rhein";;null;6
136151;"40822";"05158024";"Mettmann";;null;6
136180;"40878";"05158028";"Ratingen";;null;6
136181;"40880";"05158028";"Ratingen";;null;6
136182;"40882";"05158028";"Ratingen";;null;6
136183;"40883";"05158028";"Ratingen";;null;6
136184;"40885";"05158028";"Ratingen";;null;6
136212;"41061";"05116000";"Mönchengladbach";;null;6
136213;"41063";"05116000";"Mönchengladbach";;null;6
136214;"41065";"05116000";"Mönchengladbach";;null;6
136215;"41066";"05116000";"Mönchengladbach";;null;6
136216;"41068";"05116000";"Mönchengladbach";;null;6
136217;"41069";"05116000";"Mönchengladbach";;null;6
136221;"41169";"05116000";"Mönchengladbach";;null;6
136224;"41179";"05116000";"Mönchengladbach";;null;6
136228;"41189";"05116000";"Mönchengladbach";;null;6
136233;"41199";"05116000";"Mönchengladbach";;null;6
136252;"41236";"05116000";"Mönchengladbach";;null;6
136253;"41238";"05116000";"Mönchengladbach";;null;6
136254;"41239";"05116000";"Mönchengladbach";;null;6
136271;"41334";"05166016";"Nettetal";;null;6
136280;"41352";"05162020";"Korschenbroich";;null;6
136286;"41363";"05162012";"Jüchen";;null;6
136288;"41366";"05166024";"Schwalmtal";;null;6
136291;"41372";"05166020";"Niederkrüchten";;null;6
136295;"41379";"05166004";"Brüggen";;null;6
136332;"41460";"05162024";"Neuss";;null;6
136333;"41462";"05162024";"Neuss";;null;6
136334;"41464";"05162024";"Neuss";;null;6
136335;"41466";"05162024";"Neuss";;null;6
136336;"41468";"05162024";"Neuss";;null;6
136337;"41469";"05162024";"Neuss";;null;6
136338;"41470";"05162024";"Neuss";;null;6
136339;"41472";"05162024";"Neuss";;null;6
136355;"41515";"05162008";"Grevenbroich";;null;6
136356;"41516";"05162008";"Grevenbroich";;null;6
136357;"41517";"05162008";"Grevenbroich";;null;6
136372;"41539";"05162004";"Dormagen";;null;6
136373;"41540";"05162004";"Dormagen";;null;6
136374;"41541";"05162004";"Dormagen";;null;6
136375;"41542";"05162004";"Dormagen";;null;6
136386;"41564";"05162016";"Kaarst";;null;6
136389;"41569";"05162028";"Rommerskirchen";;null;6
136414;"41747";"05166032";"Viersen";;null;6
136415;"41748";"05166032";"Viersen";;null;6
136416;"41749";"05166032";"Viersen";;null;6
136417;"41751";"05166032";"Viersen";;null;6
136424;"41812";"05370004";"Erkelenz";;null;6
136432;"41836";"05370020";"Hückelhoven";;null;6
136437;"41844";"05370040";"Wegberg";;null;6
136438;"41849";"05370036";"Wassenberg";;null;6
136492;"42103";"05124000";"Wuppertal";;null;6
136493;"42105";"05124000";"Wuppertal";;null;6
136494;"42107";"05124000";"Wuppertal";;null;6
136495;"42109";"05124000";"Wuppertal";;null;6
136496;"42111";"05124000";"Wuppertal";;null;6
136497;"42113";"05124000";"Wuppertal";;null;6
136498;"42115";"05124000";"Wuppertal";;null;6
136499;"42117";"05124000";"Wuppertal";;null;6
136500;"42119";"05124000";"Wuppertal";;null;6
136542;"42275";"05124000";"Wuppertal";;null;6
136543;"42277";"05124000";"Wuppertal";;null;6
136544;"42279";"05124000";"Wuppertal";;null;6
136545;"42281";"05124000";"Wuppertal";;null;6
136546;"42283";"05124000";"Wuppertal";;null;6
136547;"42285";"05124000";"Wuppertal";;null;6
136548;"42287";"05124000";"Wuppertal";;null;6
136549;"42289";"05124000";"Wuppertal";;null;6
136559;"42327";"05124000";"Wuppertal";;null;6
136560;"42329";"05124000";"Wuppertal";;null;6
136571;"42349";"05124000";"Wuppertal";;null;6
136580;"42369";"05124000";"Wuppertal";;null;6
136586;"42389";"05124000";"Wuppertal";;null;6
136587;"42399";"05124000";"Wuppertal";;null;6
136601;"42477";"05374036";"Radevormwald";;null;6
136607;"42489";"05158036";"Wülfrath";;null;6
136612;"42499";"05374016";"Hückeswagen";;null;6
136639;"42549";"05158032";"Velbert";;null;6
136640;"42551";"05158032";"Velbert";;null;6
136641;"42553";"05158032";"Velbert";;null;6
136642;"42555";"05158032";"Velbert";;null;6
136653;"42579";"05158012";"Heiligenhaus";;null;6
136680;"42651";"05122000";"Solingen";;null;6
136681;"42653";"05122000";"Solingen";;null;6
136682;"42655";"05122000";"Solingen";;null;6
136683;"42657";"05122000";"Solingen";;null;6
136684;"42659";"05122000";"Solingen";;null;6
136697;"42697";"05122000";"Solingen";;null;6
136698;"42699";"05122000";"Solingen";;null;6
136708;"42719";"05122000";"Solingen";;null;6
136721;"42781";"05158008";"Haan";;null;6
136729;"42799";"05378016";"Leichlingen (Rheinland)";;null;6
136756;"42853";"05120000";"Remscheid";;null;6
