ID;Kurztext;Langtext;Beginn;Ende;Sort;geaendert
1;"Schulleit";"Schulleitung";1900-01-01T00:00;null;100;
2;"Vertret";"stellv. Schulleitung";1900-01-01T00:00;null;200;
