ID;PLZ;REGSCHL;ORT;ORTSTEIL;STAND
11639;"32361";"05770036";"Preußisch Oldendorf";"Gem Bad Essen";
11641;"32361";"05770036";"Preußisch Oldendorf";"Gem Rödinghausen";
11631;"32361";"05770036";"Preußisch Oldendorf";"Getmold";
11632;"32361";"05770036";"Preußisch Oldendorf";"Harlinghausen";
11633;"32361";"05770036";"Preußisch Oldendorf";"Hedem";
11634;"32361";"05770036";"Preußisch Oldendorf";"Holzhausen";
11635;"32361";"05770036";"Preußisch Oldendorf";"Lashorst";
11636;"32361";"05770036";"Preußisch Oldendorf";"Offelten";
11637;"32361";"05770036";"Preußisch Oldendorf";"Preußisch Oldendorf";
11638;"32361";"05770036";"Preußisch Oldendorf";"Schröttinghausen";
11640;"32361";"05770036";"Preußisch Oldendorf";"Stadt Melle";
11682;"32369";"05770040";"Rahden";"Kleinendorf";
11683;"32369";"05770040";"Rahden";"Pr. Ströhen";
11684;"32369";"05770040";"Rahden";"Rahden";
11685;"32369";"05770040";"Rahden";"Sielhorst";
11686;"32369";"05770040";"Rahden";"Tonnenheide";
11687;"32369";"05770040";"Rahden";"Varl";
11688;"32369";"05770040";"Rahden";"Wehe";
10624;"32423";"05770024";"Minden";"Aminghausen";
10627;"32423";"05770024";"Minden";"Dankersen";
10633;"32423";"05770024";"Minden";"Innenstadt";
10638;"32423";"05770024";"Minden";"Leteln";
10639;"32423";"05770024";"Minden";"Meißen";
10640;"32423";"05770024";"Minden";"Päpinghausen";
10634;"32425";"05770024";"Minden";"Innenstadt";
10637;"32425";"05770024";"Minden";"Kutenhausen";
10643;"32425";"05770024";"Minden";"Minderheide";
10641;"32425";"05770024";"Minden";"Stemmer";
10642;"32425";"05770024";"Minden";"Todtenhausen";
10630;"32427";"05770024";"Minden";"Hahlen";
10635;"32427";"05770024";"Minden";"Innenstadt";
10626;"32429";"05770024";"Minden";"Barkhausen";
10625;"32429";"05770024";"Minden";"Bölhorst";
10628;"32429";"05770024";"Minden";"Dützen";
10629;"32429";"05770024";"Minden";"Haddenhausen";
10631;"32429";"05770024";"Minden";"Hahlen";
10632;"32429";"05770024";"Minden";"Häverstädt";
10636;"32429";"05770024";"Minden";"Innenstadt";
11614;"32457";"05770032";"Porta Westfalica";"Barkhausen";
11615;"32457";"05770032";"Porta Westfalica";"Costedt";
11616;"32457";"05770032";"Porta Westfalica";"Eisbergen";
11617;"32457";"05770032";"Porta Westfalica";"Hausberge";
11618;"32457";"05770032";"Porta Westfalica";"Holtrup";
11619;"32457";"05770032";"Porta Westfalica";"Holzhausen";
