ASA01_Schulnr;ASA01_Sf;ASA01_Text;geaendert
"190962";"AG";"Abendgymnasium";
"190962";"AR";"Abendrealschule";
"191073";"AG";"Abendgymnasium";
"191073";"AR";"Abendrealschule";
"191073";"KL";"Kolleg";
"191620";"S";"Sonderschulbereich";
"191656";"EZ";"Schule für Erziehungshilfe";
"191656";"KR";"Schule für Kranke";
"191838";"S";"Sonderschulbereich";
"193045";"S";"Sonderschulbereich";
"193057";"A";"Allgemeinbildender Bereich";
"193057";"S";"Sonderschulbereich";
"193276";"KR";"Schule für Kranke";
"193276";"LB";"Schule für Lernbehinderte";
"193896";"EZ";"Schule für Erziehungshilfe";
"193896";"LB";"Schule für Lernbehinderte";
"193896";"SB";"Schule für Sprachbehinderte";
